CountyState,County,State,VAMC,VISN
"Walla Walla County, Washington",Walla Walla,Washington,Walla Walla,20
"Benton County, Washington",Benton,Washington,Walla Walla,20
"Asotin County, Washington",Asotin,Washington,Walla Walla,20
"Union County, Oregon",Union,Oregon,Walla Walla,20
"Yakima County, Washington",Yakima,Washington,Walla Walla,20
"Morrow County, Oregon",Morrow,Oregon,Walla Walla,20
"Wallowa County, Oregon",Wallowa,Oregon,Walla Walla,20
"Garfield County, Washington",Garfield,Washington,Walla Walla,20
"Kittitas County, Washington",Kittitas,Washington,Walla Walla,20
"Franklin County, Washington",Franklin,Washington,Walla Walla,20
"Latah County, Idaho",Latah,Idaho,Walla Walla,20
"Umatilla County, Oregon",Umatilla,Oregon,Walla Walla,20
"Lewis County, Idaho",Lewis,Idaho,Walla Walla,20
"Clearwater County, Idaho",Clearwater,Idaho,Walla Walla,20
"Idaho County, Idaho",Idaho,Idaho,Walla Walla,20
"Columbia County, Washington",Columbia,Washington,Walla Walla,20
"Nez Perce County, Idaho",Nez Perce,Idaho,Walla Walla,20
"King County, Washington",King,Washington,Puget Sound,20
"Pierce County, Washington",Pierce,Washington,Puget Sound,20
"Mason County, Washington",Mason,Washington,Puget Sound,20
"Lewis County, Washington",Lewis,Washington,Puget Sound,20
"Thurston County, Washington",Thurston,Washington,Puget Sound,20
"Grays Harbor County, Washington",Grays Harbor,Washington,Puget Sound,20
"Jefferson County, Washington",Jefferson,Washington,Puget Sound,20
"Clallam County, Washington",Clallam,Washington,Puget Sound,20
"Kitsap County, Washington",Kitsap,Washington,Puget Sound,20
"Snohomish County, Washington",Snohomish,Washington,Puget Sound,20
"Skagit County, Washington",Skagit,Washington,Puget Sound,20
"Whatcom County, Washington",Whatcom,Washington,Puget Sound,20
"Island County, Washington",Island,Washington,Puget Sound,20
"San Juan County, Washington",San Juan,Washington,Puget Sound,20
"Spokane County, Washington",Spokane,Washington,Mann-Grandstaff,20
"Lincoln County, Montana",Lincoln,Montana,Mann-Grandstaff,20
"Bonner County, Idaho",Bonner,Idaho,Mann-Grandstaff,20
"Chelan County, Washington",Chelan,Washington,Mann-Grandstaff,20
"Douglas County, Washington",Douglas,Washington,Mann-Grandstaff,20
"Grant County, Washington",Grant,Washington,Mann-Grandstaff,20
"Okanogan County, Washington",Okanogan,Washington,Mann-Grandstaff,20
"Ferry County, Washington",Ferry,Washington,Mann-Grandstaff,20
"Lincoln County, Washington",Lincoln,Washington,Mann-Grandstaff,20
"Adams County, Washington",Adams,Washington,Mann-Grandstaff,20
"Whitman County, Washington",Whitman,Washington,Mann-Grandstaff,20
"Benewah County, Idaho",Benewah,Idaho,Mann-Grandstaff,20
"Stevens County, Washington",Stevens,Washington,Mann-Grandstaff,20
"Shoshone County, Idaho",Shoshone,Idaho,Mann-Grandstaff,20
"Kootenai County, Idaho",Kootenai,Idaho,Mann-Grandstaff,20
"Boundary County, Idaho",Boundary,Idaho,Mann-Grandstaff,20
"Pend Oreille County, Washington",Pend Oreille,Washington,Mann-Grandstaff,20
"Lane County, Oregon",Lane,Oregon,Roseburg,20
"Douglas County, Oregon",Douglas,Oregon,Roseburg,20
"Coos County, Oregon",Coos,Oregon,Roseburg,20
"Curry County, Oregon",Curry,Oregon,Roseburg,20
"Del Norte County, California",Del Norte,California,Roseburg,20
"Klamath County, Oregon",Klamath,Oregon,White City,20
"Jackson County, Oregon",Jackson,Oregon,White City,20
"Josephine County, Oregon",Josephine,Oregon,White City,20
"Ada County, Idaho",Ada,Idaho,Boise,20
"Twin Falls County, Idaho",Twin Falls,Idaho,Boise,20
"Elmore County, Idaho",Elmore,Idaho,Boise,20
"Lemhi County, Idaho",Lemhi,Idaho,Boise,20
"Harney County, Oregon",Harney,Oregon,Boise,20
"Malheur County, Oregon",Malheur,Oregon,Boise,20
"Grant County, Oregon",Grant,Oregon,Boise,20
"Baker County, Oregon",Baker,Oregon,Boise,20
"Adams County, Idaho",Adams,Idaho,Boise,20
"Valley County, Idaho",Valley,Idaho,Boise,20
"Custer County, Idaho",Custer,Idaho,Boise,20
"Blaine County, Idaho",Blaine,Idaho,Boise,20
"Owyhee County, Idaho",Owyhee,Idaho,Boise,20
"Cassia County, Idaho",Cassia,Idaho,Boise,20
"Jerome County, Idaho",Jerome,Idaho,Boise,20
"Lincoln County, Idaho",Lincoln,Idaho,Boise,20
"Camas County, Idaho",Camas,Idaho,Boise,20
"Boise County, Idaho",Boise,Idaho,Boise,20
"Gem County, Idaho",Gem,Idaho,Boise,20
"Minidoka County, Idaho",Minidoka,Idaho,Boise,20
"Gooding County, Idaho",Gooding,Idaho,Boise,20
"Canyon County, Idaho",Canyon,Idaho,Boise,20
"Payette County, Idaho",Payette,Idaho,Boise,20
"Washington County, Idaho",Washington,Idaho,Boise,20
"Pacific County, Washington",Pacific,Washington,VA Portland,20
"Cowlitz County, Washington",Cowlitz,Washington,VA Portland,20
"Wahkiakum County, Washington",Wahkiakum,Washington,VA Portland,20
"Skamania County, Washington",Skamania,Washington,VA Portland,20
"Klickitat County, Washington",Klickitat,Washington,VA Portland,20
"Gilliam County, Oregon",Gilliam,Oregon,VA Portland,20
"Sherman County, Oregon",Sherman,Oregon,VA Portland,20
"Wasco County, Oregon",Wasco,Oregon,VA Portland,20
"Hood River County, Oregon",Hood River,Oregon,VA Portland,20
"Multnomah County, Oregon",Multnomah,Oregon,VA Portland,20
"Clackamas County, Oregon",Clackamas,Oregon,VA Portland,20
"Washington County, Oregon",Washington,Oregon,VA Portland,20
"Columbia County, Oregon",Columbia,Oregon,VA Portland,20
"Clatsop County, Oregon",Clatsop,Oregon,VA Portland,20
"Tillamook County, Oregon",Tillamook,Oregon,VA Portland,20
"Yamhill County, Oregon",Yamhill,Oregon,VA Portland,20
"Marion County, Oregon",Marion,Oregon,VA Portland,20
"Wheeler County, Oregon",Wheeler,Oregon,VA Portland,20
"Jefferson County, Oregon",Jefferson,Oregon,VA Portland,20
"Linn County, Oregon",Linn,Oregon,VA Portland,20
"Benton County, Oregon",Benton,Oregon,VA Portland,20
"Lincoln County, Oregon",Lincoln,Oregon,VA Portland,20
"Polk County, Oregon",Polk,Oregon,VA Portland,20
"Deschutes County, Oregon",Deschutes,Oregon,VA Portland,20
"Crook County, Oregon",Crook,Oregon,VA Portland,20
"Lake County, Oregon",Lake,Oregon,VA Portland,20
"Clark County, Washington",Clark,Washington,VA Portland,20
"Union County, Ohio",Union,Ohio,Columbus,10
"Madison County, Ohio",Madison,Ohio,Columbus,10
"Pickaway County, Ohio",Pickaway,Ohio,Columbus,10
"Franklin County, Ohio",Franklin,Ohio,Columbus,10
"Fairfield County, Ohio",Fairfield,Ohio,Columbus,10
"Licking County, Ohio",Licking,Ohio,Columbus,10
"Delaware County, Ohio",Delaware,Ohio,Columbus,10
"Morrow County, Ohio",Morrow,Ohio,Columbus,10
"Lorain County, Ohio",Lorain,Ohio,Cleveland,10
"Medina County, Ohio",Medina,Ohio,Cleveland,10
"Cuyahoga County, Ohio",Cuyahoga,Ohio,Cleveland,10
"Geauga County, Ohio",Geauga,Ohio,Cleveland,10
"Lake County, Ohio",Lake,Ohio,Cleveland,10